timestamp,local,lat,lon,velocidade_atual,velocidade_livre,congestao
2025-11-30 18:00:07.022866,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 18:00:07.790424,Avenida Paulista,-23.561414,-46.655881,31,38,18.42
2025-11-30 18:00:08.550074,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:00:09.309094,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:03:20.193189,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 18:03:21.004163,Avenida Paulista,-23.561414,-46.655881,31,38,18.42
2025-11-30 18:03:21.783920,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:03:22.601761,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:06:33.433804,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 18:06:34.237807,Avenida Paulista,-23.561414,-46.655881,33,38,13.16
2025-11-30 18:06:35.000896,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:06:35.756870,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:09:46.626906,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 18:09:47.378879,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 18:09:48.143654,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:09:48.896949,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:12:59.733991,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 18:13:00.517691,Avenida Paulista,-23.561414,-46.655881,33,37,10.81
2025-11-30 18:13:01.370922,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:13:02.143902,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:20:21.695182,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 18:20:22.437078,Avenida Paulista,-23.561414,-46.655881,31,38,18.42
2025-11-30 18:20:23.183517,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:20:23.959433,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:23:34.907857,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 18:23:35.693602,Avenida Paulista,-23.561414,-46.655881,31,38,18.42
2025-11-30 18:23:36.492768,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:23:37.266532,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:26:48.087751,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 18:26:48.873129,Avenida Paulista,-23.561414,-46.655881,29,38,23.68
2025-11-30 18:26:49.622582,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:26:50.374471,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:30:01.159702,Centro,-23.5505,-46.6333,45,55,18.18
2025-11-30 18:30:01.927575,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 18:30:02.692085,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:30:03.457279,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:33:14.394990,Centro,-23.5505,-46.6333,45,54,16.67
2025-11-30 18:33:15.196705,Avenida Paulista,-23.561414,-46.655881,28,38,26.32
2025-11-30 18:33:15.952012,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:33:16.702825,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:36:27.514222,Centro,-23.5505,-46.6333,44,54,18.52
2025-11-30 18:36:28.305871,Avenida Paulista,-23.561414,-46.655881,29,37,21.62
2025-11-30 18:36:29.104354,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:36:29.877646,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:39:41.645922,Centro,-23.5505,-46.6333,41,54,24.07
2025-11-30 18:39:42.394261,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 18:39:43.629692,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:39:44.363212,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:42:55.191822,Centro,-23.5505,-46.6333,41,55,25.45
2025-11-30 18:42:55.974520,Avenida Paulista,-23.561414,-46.655881,31,38,18.42
2025-11-30 18:42:56.911174,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:42:57.666846,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:46:08.507484,Centro,-23.5505,-46.6333,40,55,27.27
2025-11-30 18:46:09.327197,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 18:46:10.100191,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:46:10.871460,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:49:21.707050,Centro,-23.5505,-46.6333,38,54,29.63
2025-11-30 18:49:22.583782,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 18:49:23.578884,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:49:24.427311,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:52:35.247702,Centro,-23.5505,-46.6333,39,54,27.78
2025-11-30 18:52:36.024583,Avenida Paulista,-23.561414,-46.655881,32,37,13.51
2025-11-30 18:52:36.761816,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:52:37.527739,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:55:48.315085,Centro,-23.5505,-46.6333,40,54,25.93
2025-11-30 18:55:49.085016,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 18:55:49.872687,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:55:50.651018,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 18:59:01.554391,Centro,-23.5505,-46.6333,38,54,29.63
2025-11-30 18:59:02.312306,Avenida Paulista,-23.561414,-46.655881,33,37,10.81
2025-11-30 18:59:03.076972,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 18:59:03.830042,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:02:14.843873,Centro,-23.5505,-46.6333,40,54,25.93
2025-11-30 19:02:15.749088,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 19:02:16.691230,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:02:17.617276,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:05:28.458815,Centro,-23.5505,-46.6333,43,55,21.82
2025-11-30 19:05:29.322188,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 19:05:30.092660,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:05:30.901294,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:08:41.783698,Centro,-23.5505,-46.6333,42,55,23.64
2025-11-30 19:08:42.619916,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:08:43.424847,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:08:44.242114,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:11:55.049783,Centro,-23.5505,-46.6333,41,54,24.07
2025-11-30 19:11:55.892344,Avenida Paulista,-23.561414,-46.655881,31,38,18.42
2025-11-30 19:11:56.705149,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:11:57.521804,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:15:08.381996,Centro,-23.5505,-46.6333,41,55,25.45
2025-11-30 19:15:09.186629,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:15:10.004752,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:15:10.780585,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:18:21.620501,Centro,-23.5505,-46.6333,40,54,25.93
2025-11-30 19:18:22.427784,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:18:23.267251,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:18:24.127214,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:21:34.964228,Centro,-23.5505,-46.6333,40,54,25.93
2025-11-30 19:21:35.780132,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:21:36.579204,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:21:37.377500,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:24:48.290386,Centro,-23.5505,-46.6333,39,54,27.78
2025-11-30 19:24:49.116020,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:24:49.939552,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:24:50.760640,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:28:01.561004,Centro,-23.5505,-46.6333,42,55,23.64
2025-11-30 19:28:02.346084,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 19:28:03.118134,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:28:03.916198,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:31:14.713101,Centro,-23.5505,-46.6333,40,54,25.93
2025-11-30 19:31:15.484575,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:31:16.270577,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:31:17.063758,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:34:27.897260,Centro,-23.5505,-46.6333,42,54,22.22
2025-11-30 19:34:28.699006,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 19:34:29.481315,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:34:30.291297,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:37:41.101377,Centro,-23.5505,-46.6333,40,54,25.93
2025-11-30 19:37:41.910389,Avenida Paulista,-23.561414,-46.655881,33,38,13.16
2025-11-30 19:37:42.754133,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:37:43.571537,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:40:54.392674,Centro,-23.5505,-46.6333,41,55,25.45
2025-11-30 19:40:55.191777,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:40:55.975803,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:40:56.772739,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:44:07.599479,Centro,-23.5505,-46.6333,44,55,20.0
2025-11-30 19:44:08.415102,Avenida Paulista,-23.561414,-46.655881,31,38,18.42
2025-11-30 19:44:09.213251,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:44:09.991733,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:47:20.781781,Centro,-23.5505,-46.6333,45,54,16.67
2025-11-30 19:47:21.596437,Avenida Paulista,-23.561414,-46.655881,28,38,26.32
2025-11-30 19:47:22.389998,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:47:23.224716,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:50:34.027041,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 19:50:34.822635,Avenida Paulista,-23.561414,-46.655881,29,38,23.68
2025-11-30 19:50:35.644801,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:50:36.430910,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:53:47.285519,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 19:53:48.029124,Avenida Paulista,-23.561414,-46.655881,30,38,21.05
2025-11-30 19:53:48.774232,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:53:49.558378,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 19:57:00.368592,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 19:57:01.121158,Avenida Paulista,-23.561414,-46.655881,28,38,26.32
2025-11-30 19:57:01.885309,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 19:57:02.644109,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:00:13.481549,Centro,-23.5505,-46.6333,45,55,18.18
2025-11-30 20:00:14.256290,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 20:00:15.015335,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:00:15.779286,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:03:26.620990,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:03:27.386742,Avenida Paulista,-23.561414,-46.655881,31,38,18.42
2025-11-30 20:03:28.151559,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:03:28.919164,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:06:39.779193,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:06:40.522945,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 20:06:41.344702,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:06:42.132356,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:09:52.911391,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:09:53.678193,Avenida Paulista,-23.561414,-46.655881,33,38,13.16
2025-11-30 20:09:54.453838,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:09:55.208845,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:13:06.041510,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:13:06.831866,Avenida Paulista,-23.561414,-46.655881,33,38,13.16
2025-11-30 20:13:07.606709,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:13:08.382360,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:16:19.277063,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:16:20.074294,Avenida Paulista,-23.561414,-46.655881,33,38,13.16
2025-11-30 20:16:20.865365,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:16:21.650080,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:19:32.464529,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:19:33.259186,Avenida Paulista,-23.561414,-46.655881,33,38,13.16
2025-11-30 20:19:34.023578,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:19:34.780908,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:22:45.866623,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:22:46.639758,Avenida Paulista,-23.561414,-46.655881,33,37,10.81
2025-11-30 20:22:47.400747,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:22:48.164882,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:25:58.985970,Centro,-23.5505,-46.6333,47,55,14.55
2025-11-30 20:25:59.774180,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:26:00.593380,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:26:01.360934,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:29:12.291789,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:29:13.092809,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:29:13.906191,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:29:14.687345,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:32:25.473519,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:32:26.251877,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:32:27.024132,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:32:27.804144,Marginal Pinheiros,-23.6101,-46.6977,47,51,7.84
2025-11-30 20:35:38.664713,Centro,-23.5505,-46.6333,46,55,16.36
2025-11-30 20:35:39.433551,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:35:40.214967,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:35:41.027531,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:38:51.879262,Centro,-23.5505,-46.6333,47,54,12.96
2025-11-30 20:38:52.650203,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:38:53.433633,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:38:54.181752,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:42:05.080148,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:42:05.870654,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:42:06.666871,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:42:07.486004,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:45:18.354696,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:45:19.167623,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:45:19.928247,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:45:20.735537,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:48:31.541676,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:48:32.317899,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:48:33.078796,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:48:33.874402,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:51:44.699621,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:51:45.483270,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:51:46.290366,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:51:47.073570,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:54:57.930691,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:54:58.767344,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 20:54:59.572726,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:55:00.374699,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 20:58:11.183990,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 20:58:11.942931,Avenida Paulista,-23.561414,-46.655881,32,38,15.79
2025-11-30 20:58:12.743788,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 20:58:13.567413,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 21:01:24.433423,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 21:01:25.186005,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 21:01:25.930671,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 21:01:26.703747,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 21:04:37.531965,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 21:04:38.323265,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 21:04:39.080941,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 21:04:39.849484,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 21:07:50.670733,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 21:07:51.467843,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 21:07:52.225549,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 21:07:52.993233,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 21:11:03.781885,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 21:11:04.558474,Avenida Paulista,-23.561414,-46.655881,34,38,10.53
2025-11-30 21:11:05.329932,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 21:11:06.126891,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
2025-11-30 21:14:17.016071,Centro,-23.5505,-46.6333,55,55,0.0
2025-11-30 21:14:17.793932,Avenida Paulista,-23.561414,-46.655881,38,38,0.0
2025-11-30 21:14:18.606173,Marginal Tiete,-23.5163,-46.7375,55,55,0.0
2025-11-30 21:14:19.392656,Marginal Pinheiros,-23.6101,-46.6977,52,52,0.0
